mal_id,image_url,title,synopsis,is_franchise,year,score,source_LN,source_Manga,source_Original,source_Other,source_VN,genre_Action,genre_Adventure,genre_Comedy,genre_Drama,genre_Fantasy,genre_Gourmet,genre_Horror,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sports,genre_Supernatural,genre_Suspense,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,demo_Kids,season_spring,season_summer,season_winter,studio_rep_quality,producer_rep_quality,studio_rep_hype,studio_experience,episodes_log
60543,https://myanimelist.net/images/anime/1721/149001.webp,Dandadan 2nd Season,"While the mission to exorcise Jin ""Jiji"" Enjouji's family home is underway, things are not going as expected. Momo Ayase narrowly evades an attempted abduction while Ken ""Okarun"" Takakura and Jiji are ambushed by the Kitou family—the unsettling landlords of the cursed estate. The trio's efforts threaten the foundation of this enigmatic town shrouded in legends and mysteries.

As Momo, Okarun, and Jiji are drawn deeper into the maze of folklore and supernatural entities, they must each utilize their unique powers if they want to survive and unravel the secrets of the uncanny town.

[Written by MAL Rewrite]",1,2025,8.41,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.312,7.331225282218269,12.576794468494072,5.0,2.5649493574615367
59062,https://myanimelist.net/images/anime/1682/150432.webp,Gachiakuta,"The inhabitants of a certain wealthy town think nothing of throwing objects away. However, their waste is priceless to Rudo, a resident of the town's slums. Despite the constant warnings from his adoptive father Regto, Rudo spends his days searching for reusable materials that would otherwise be sent to the giant disposal area known as the Pit. Due to its vastness, the Pit doubles as a means of criminal punishment; those dropped in are never to return again.

When Regto is murdered by a mysterious assailant, Rudo is falsely accused of the crime and thrown into the Pit. To his surprise, he awakens in a trash-filled area inhabited by enormous monsters formed from the junk. As the toxic air and Trash Beasts push Rudo to the brink of death, he is saved by Enjin, one of the Cleaners who wield weapons known as Vital Instruments to fight the monstrosities. Having gained his own Vital Instrument, Rudo soon joins the Cleaners in the hopes of finding a way to escape the Pit and avenge his father.

[Written by MAL Rewrite]",0,2025,8.22,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.58,7.208747357267437,12.059774387912876,1.0,3.2188758248682006
53065,https://myanimelist.net/images/anime/1024/150787.webp,Sono Bisque Doll wa Koi wo Suru Season 2,"After Marin Kitagawa introduced Wakana Gojou to the world of cosplay, he has been creating her outfits with ease. Even so, he still has a lot to learn, and every new lesson seems to strengthen his love for sewing and for the hina dolls his grandfather taught him to make.

Meanwhile, Kitagawa finds it harder and harder to hide her feelings for Gojou. Friends and strangers alike constantly mistake them for a couple, much to Gojou's embarrassment. After all, in his eyes, their worlds are far too different for anyone to think they could be romantically linked. However, as Gojou spends more time with Kitagawa and realizes that his passions are not ridiculed by other people, a relationship between the two no longer seems so far-fetched.

[Written by MAL Rewrite]",1,2025,8.18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.56875,7.140607021844178,13.323913050089157,32.0,2.5649493574615367
59845,https://myanimelist.net/images/anime/1744/150433.webp,Kaoru Hana wa Rin to Saku,"The all-girls Kikyo Private Academy and Chidori Public High School are polar opposites. With its prestigious history, Kikyo is attended by noble young ladies from distinguished families, while Chidori is infamously full of simple-minded delinquents. It is no surprise that their students clash with their differences.

Having a tall stature and fierce appearance, Chidori student Rintarou Tsumugi is often avoided by others despite his gentle heart. One day, while helping out at his family's patisserie, he meets a customer who, after a brief moment, runs away from him. The next day, the customer returns to apologize to Rintarou, introducing herself as the cheerful Kaoruko Waguri.

After spending time with Kaoruko, Rintarou appreciates that she does not judge him based on his appearance and looks forward to when they will meet again. However, when Rintarou discovers Kaoruko attends Kikyo, their relationship will challenge the social expectations and dynamics around them.

[Written by MAL Rewrite]",0,2025,8.52,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.56875,7.158720003601972,13.323913050089157,32.0,2.6390573296152584
59177,https://myanimelist.net/images/anime/1177/150344.webp,Kaijuu 8-gou 2nd Season,"Following the massive operation that led to the confinement of recent recruit Kafka Hibino, otherwise known as Kaijuu No. 8, the Defense Force has been puzzled by how to deal with him. Kafka is the first kaijuu to side with humans, and after careful consideration, he is eventually transferred to the Defense Force's First Division in the hope of adding his power to the strongest division, capable of handling any threat. However, some people are still doubtful about Kafka, and he must prove his worth in the next mission.

Kafka and the First Division are soon dispatched when a massive horde of ant-like kaijuu begins wreaking havoc. Thanks to the combined strength of Kafka's friend Kikoru Shinomiya and their captain, Gen Narumi, the mission seems to progress as it should. However, when Kafka fails to transform into his kaijuu form, the dreadful Kaijuu No. 9 joins the battle with only one goal—to eliminate him and steal his power. Although the situation is looking grim, Kafka must overcome his most difficult trial yet with the others if he wants to keep pursuing his dream: fighting side by side with his childhood friend and Third Division captain, Mina Ashiro.

[Written by MAL Rewrite]",1,2025,7.79,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.440526315789474,7.372342735940015,12.632855744059542,19.0,2.4849066497880004
58913,https://myanimelist.net/images/anime/1104/148614.webp,Hikaru ga Shinda Natsu,"It has been six months since Yoshiki Tsujinaka's best friend, Hikaru Indou, went missing in the mountains and returned a week later with no recollection of what had transpired. Certain that it is not the Hikaru he knows who came back, Yoshiki finally asks Hikaru about it. Suddenly, ""Hikaru"" reveals his true monstrous form and begs Yoshiki to keep it a secret, as he does not want to kill him.

Despite his paranormal nature, ""Hikaru"" seems almost innocent, full of childlike wonder and eager to experience the summer heat, the countryside, and all kinds of other things in a human body for the first time. And for Yoshiki, it matters little if ""Hikaru"" is a fake relying on stolen memories—as long as he never leaves again. As Yoshiki desperately clings to ""Hikaru"" in his intense grief, it becomes increasingly clear that something dangerous and supernatural may have descended from the mountains into their village.

[Written by MAL Rewrite]",0,2025,8.02,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.631428571428572,7.158790208050656,11.681072029582877,7.0,2.5649493574615367
60285,https://myanimelist.net/images/anime/1758/148719.webp,Sakamoto Days Part 2,"The legendary former hitman Tarou Sakamoto has thwarted numerous assassins after an enormous bounty on his head was issued. But he cannot seem to catch a break and simply take it easy with his beloved family. A mysterious and infamous figure known as Slur has brought a group of insane death row inmates to Japan, who hold back from nothing to eliminate their targets.

Sakamoto is not the only target—the criminals have been assigned to kill various other people, including the new hires at Sakamoto's convenience store, Shin Asakura and Lu Shaotang. The situation escalates even further when the Order, a group of the most skilled Japanese assassins, becomes involved. As the inmates begin wreaking havoc, Sakamoto and his allies must remain vigilant for the sake of everything they hold dear.

[Written by MAL Rewrite]",1,2025,7.91,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.158125,7.29009382566586,12.722620895044185,32.0,2.4849066497880004
58390,https://myanimelist.net/images/anime/1509/148453.webp,Yofukashi no Uta Season 2,"A human may become a vampire only if they fall in love with one—and 14-year-old Kou Yamori wishes for nothing more. Kou has decided to fall in love with a vampire named Nazuna Nanakusa, and he has only 10 months of nightly rendezvous left to realize his goal.

Kou's friends, Mahiru Seki and Akira Asai, are slowly coming to terms with the existence of vampires and Kou's decision to become one. As Kou realizes that a woman close to Mahiru is a vampire, he is unsure whether to support this relationship.

Meanwhile, Anko Uguisu, the human detective bent on killing vampires, closes in on Nazuna and her coven. When an encounter leaves one of the vampires seriously injured, they learn that their human memories hold the key to a weakness that can be their demise—and to protect Nazuna, Kou must find out about her past.

[Written by MAL Rewrite]",1,2025,8.34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6.716875000000001,7.1881893126875385,11.928943582570328,48.0,2.5649493574615367
61322,https://myanimelist.net/images/anime/1785/151710.webp,Dr. Stone: Science Future Part 2,"After a strategic maneuver, Senkuu Ishigami's team stalls Dr. Xeno's more scientifically advanced forces. A ceasefire between the two factions allows for the establishment of Corn City in North America, a hope for a future thriving population. Meanwhile, Senkuu and some of his teammates rush toward the Amazon in South America—the epicenter of the petrification beam's impact—to create Superalloy City and progress their spaceship project.

With dangerous enemies still pursuing Senkuu and his companions, it is a race against time to reach the heart of the dense Amazon. As unexpected allies and scientific creations further fuel this leg of their journey, Senkuu is closer than ever to finally uncovering the mystery behind the petrification phenomenon.

[Written by MAL Rewrite]",1,2025,8.52,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.158125,7.630424473067915,12.722620895044185,32.0,2.5649493574615367
59459,https://myanimelist.net/images/anime/1669/149732.webp,Silent Witch: Chinmoku no Majo no Kakushigoto,"In the Kingdom of Ridill lives a genius magician known to be the first person to ever use chantless magic. With this amazing skill, Monica Everett joins the Seven Sages as a hero who can defeat powerful dragons, such as the legendary black dragon, all on her own. However, the truth is that the Silent Witch developed chantless magic due to being too shy—preferring to live on a mountain top, far from society.

Her secluded lifestyle changes, though, when a fellow sage tasks her to covertly defend the second prince, Felix Arc Ridill, from attempts on his life. Unfortunately, that means she will have to go undercover as a student at Serendia Academy. Between guard duty and her social anxiety, Monica is facing her most difficult mission to date.

[Written by MAL Rewrite]",0,2025,8.11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.716923076923076,7.156934763990781,11.688896128234063,13.0,2.6390573296152584
57433,https://myanimelist.net/images/anime/1823/149858.webp,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,"After surviving the entrance exams, Sakuta Azusagawa has finally enrolled in the same university as his girlfriend, Mai Sakurajima. He is gradually getting used to the unfamiliar environment as he attends student gatherings and makes new acquaintances. Everything seems to be going smoothly until Sakuta's friend and Sweet Bullet idol group member Uzuki Hirokawa begins acting out.

With fellow Sweet Bullet member Nodoka Toyohama pleading for his help, Sakuta realizes that he has stumbled upon another case of the inexplicable Puberty Syndrome—Uzuki is feeling pressured by the sudden surge of popularity and rumors of a potential solo career. While Sakuta searches for a solution, another occurrence of Puberty Syndrome gradually emerges from the shadows.

[Written by MAL Rewrite]",1,2025,8.17,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.56875,7.117016970543074,13.323913050089157,32.0,2.6390573296152584
59986,https://myanimelist.net/images/anime/1108/150583.webp,Grand Blue Season 2,"Three months have passed since Iori Kitahara began living above Grand Blue, his uncle's scuba diving shop, and joined his university's Diving Club. Alongside the other members, he has spent his days drinking and recklessly having fun. However, when Iori's sister, Shiori, hears about his behavior, she decides to take matters into her own hands—and bring him back home to make him take over their family's inn.

Despite her best efforts, Shiori temporarily gives up as she sees how Iori has grown attached to Grand Blue and his friends. As Iori and the rest of the Diving Club continue to party like there is no tomorrow, they end up in all kinds of bizarrely amusing situations, still somehow managing to hone their scuba diving skills!

[Written by MAL Rewrite]",1,2025,8.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.115921052631579,7.070825776222762,12.121038355876909,10.5,2.5649493574615367
60732,https://myanimelist.net/images/anime/1383/151072.webp,Mizu Zokusei no Mahoutsukai,"After getting caught up in an accident, Ryou Mihara is reincarnated in the world of Phi as a water magician. Waking up in a remote forest, he sets out to achieve his ideal slow life by living off monsters and refining his magic. Unbeknownst to Ryou, in his second life he has gained the hidden trait ""Eternal Youth.""

One day, Ryou stumbles across a shipwrecked adventurer named Abel. As Abel requests Ryou to accompany him to the town of Lune, they embark on a journey through mountains infested with monsters. Upon arriving at the town and registering as an adventurer, Ryou's powerful water magic and equipment are unlike anything anyone has ever seen before. Although his prowess piques the interest of many, Ryou is eager to begin his own adventure and hone his magic even further!

[Written by MAL Rewrite]",0,2025,7.06,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.624,6.976356443121041,11.39345475599404,5.0,2.5649493574615367
59205,https://myanimelist.net/images/anime/1255/150593.webp,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,"Surrounded by four armies of dark beasts, five humanoid races strive to push the known boundaries of the world. Unfortunately, the 13 heroes dispatched to the southern region are easily wiped out by Clevatess, one of the Lords of Dark Beasts. Determined to get revenge against humanity, Clevatess bursts into the capital of the Kingdom of Hiden, leaving a trail of death and destruction behind him.

Although the situation looks desperate, humanity still has a chance to appease Clevatess' anger. Alicia Glenfall, one of the 13 heroes, is revived by Clevatess to help him raise a newborn infant, Luna, whose choices shall shape the fate of the human world. Although reluctant to help the dark beast at first, Alicia understands that Luna is the only thing that stands between humanity and complete annihilation. 

Hiding himself by taking on a human form, Clevatess sets out in search for a wet nurse with Alicia and Luna. With Clevatess unwilling to reveal his identity, it falls on Alicia to slay all enemies that stand in their way. Meanwhile, the neighboring countries prepare to advance on the weakened Hiden, aiming to control the only forge capable of producing the heroes' weapons.

[Written by MAL Rewrite]",0,2025,7.81,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8342857142857145,7.078295274753118,11.960387648349327,7.0,2.5649493574615367
57907,https://myanimelist.net/images/anime/1638/150592.webp,Tate no Yuusha no Nariagari Season 4,"Aiming to protect Raphtalia from the assassins of Q'ten Lo, Naofumi Iwatani travels with his friends to the eastern isolationist kingdom. On his way, Naofumi stops over in Siltvelt, a kingdom built by a former shield hero, where he is revered as a god and is offered a chance to rule the country.

Naofumi is unwilling to accept the position, preferring to continue his journey before the next wave of monsters threatens to destroy the world. Nevertheless, he finds himself embroiled in local political feuds. After he escapes from an assassination attempt, Naofumi decides to confront the leaders of Siltvelt, and this time, he is determined to show that old grudges and petty ambitions are nothing compared to his resolve to save the world.

[Written by MAL Rewrite]",1,2025,6.9,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.070555555555555,6.983785155965661,12.41119297213865,18.0,2.5649493574615367
58811,https://myanimelist.net/images/anime/1474/150666.webp,Tougen Anki,"Long ago, demon-like creatures known as Oni butchered humans and brought on destruction solely for their own delight. A lone man named Momotarou opposed these gruesome, near-invincible monsters, but the war against them was just beginning.

Thousands of years in the future, temperamental gun enthusiast Shiki Ichinose leads a carefree life. However, after his expulsion from school, everything changes. Shiki is suddenly attacked by a man and is rescued by his adoptive father, Tsuyoshi. As the two flee, Tsuyoshi reveals that Shiki is actually a descendant of the Oni, while both he and their pursuer are from the Momotarou lineage.

The two Momotarou soon clash in a fierce battle, and Tsuyoshi sacrifices himself to protect Shiki. Devastated, Shiki awakens to his Oni blood that grants him immense strength at the cost of going berserk. Although the enemy escapes, Naito Mudano, an Oni teacher at Rasetsu Academy, takes an interest in Shiki. Under Mudano's guidance, Shiki must learn to control the Oni blood—if he ever hopes to avenge his father.

[Written by MAL Rewrite]",0,2025,6.86,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.53,7.231943667587663,11.096733024221175,3.0,3.2188758248682006
59095,https://myanimelist.net/images/anime/1154/149614.webp,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season","Prince Lloyd de Saloum—once a commoner who could never grasp magic—is now blessed with inexhaustible mana and has all the time in the world to master it, as he has no claim to the throne. After mastering demonic magic, he sets his sights on the Church to learn the secrets of divine magic that will bring him one step closer to completing his arsenal. However, due to his fondness for unholy magic, he draws the scrutiny of divine beings who see him as little more than a demonic spawn.

[Written by MAL Rewrite]",1,2025,7.61,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,7.017645731698909,11.850086749857436,2.0,2.5649493574615367
59130,https://myanimelist.net/images/anime/1782/150383.webp,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,"Takuto Ira spent his short life confined to a hospital bed, with the civilization-building game Eternal Nations as his only form of entertainment. His favorite faction within the game—Mynoghra—was infamously complex to navigate and skewed toward evil; moreover, he insisted on playing at the highest difficulty.

After his untimely death, Takuto awakens in a world uncannily reminiscent of Eternal Nations. He is reincarnated as the King of Ruin, sovereign of Mynoghra itself. At his side stands Odei no Atou, the default hero unit of his chosen nation. Remembering every battle they fought together, she pledges unwavering loyalty to Takuto once more.

As Takuto begins to build Mynoghra from scratch in this new world, his early-game strategy remains unchanged: lie low, avoid war, and ensure survival at all costs—ironic for an evil ruler meant to conquer the world. When he offers refuge to persecuted Dark Elves fleeing destruction, a fledgling empire born of a darkness the world has yet to understand begins to take shape.

[Written by MAL Rewrite]",0,2025,6.62,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.854166666666667,7.025708450174143,12.079618057909261,12.0,2.6390573296152584
59207,https://myanimelist.net/images/anime/1949/150965.webp,"Mikadono Sanshimai wa Angai, Choroi.","The Mikadono sisters—Miwa, Niko, and Kazuki—stand at the pinnacle of Saika Academy as its Three Royals, renowned respectively as prodigies in shogi, karate, and theater. Unfortunately, they have drifted apart from each other due to their overwhelming dedication to their fields, effectively turning them into strangers living under the same roof.

Enter Yuu Ayase, the son of the late Subaru Ayase, a legendary actress who graduated from Saika. Unlike his mother, Yuu lacks any extraordinary talent whatsoever, much to the disappointment of those who knew her. Still, he transfers to her alma mater with one quiet promise in his heart: to fulfill her final wish that he build a true and happy family.

It just so happens that the Mikadono patriarch is also Subaru's longtime friend and benefactor, and he offers Yuu both a place to stay and a fresh start. Thrust into the lives of three estranged sisters who act cold toward him, Yuu may not be a genius himself, but the clumsy sincerity he brings might be what they all need to start anew.

[Written by MAL Rewrite]",0,2025,7.63,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.227777777777778,7.173080059695994,12.072096074463351,18.0,2.5649493574615367
